year,borough,trips,avg_fare,avg_tip,total_revenue,avg_distance,taxi_type
2020,EWR,1996,78.74,10.66,186008.0,1.05,Yellow Taxi
2023,Staten Island,2392,52.07,1.57,159741.0,10.79,Yellow Taxi
2023,,20150,99.65,10.61,2295070.0,2.45,Yellow Taxi
2019,Staten Island,3249,51.86,2.4,192326.0,13.88,Yellow Taxi
2019,Brooklyn,926646,16.82,1.7,19037123.0,3.92,Yellow Taxi
2020,Staten Island,2091,68.59,2.24,160192.0,23.42,Yellow Taxi
2020,Brooklyn,201576,17.34,1.81,4287502.0,3.49,Yellow Taxi
2023,Unknown,345121,21.85,3.84,10664420.0,3.66,Yellow Taxi
2023,EWR,4801,92.99,11.66,520409.0,1.46,Yellow Taxi
2023,Manhattan,31786645,15.9,3.05,761624585.0,2.42,Yellow Taxi
2020,Bronx,48951,21.65,0.77,1211545.0,3.8,Yellow Taxi
2020,Queens,1261676,34.07,4.73,54872037.0,10.67,Yellow Taxi
2019,,44480,71.15,8.77,3702620.0,2.87,Yellow Taxi
2023,Brooklyn,202705,27.61,2.53,6777707.0,4.7,Yellow Taxi
2019,Unknown,758480,15.27,2.4,15259473.0,2.6,Yellow Taxi
2020,,10885,72.05,7.79,906519.0,3.85,Yellow Taxi
2020,Unknown,159439,15.38,2.47,3299522.0,2.76,Yellow Taxi
2019,Manhattan,74871127,11.42,1.98,1265500487.0,2.35,Yellow Taxi
2023,Bronx,59135,31.23,0.62,2076337.0,5.3,Yellow Taxi
2020,Manhattan,21567027,10.69,1.95,351109400.0,2.26,Yellow Taxi
2019,EWR,8149,81.94,11.71,799433.0,1.54,Yellow Taxi
2019,Queens,5700608,35.96,5.2,264565322.0,11.23,Yellow Taxi
2019,Bronx,129070,22.45,0.51,3257841.0,5.22,Yellow Taxi
2023,Queens,3615064,53.14,8.4,260908887.0,12.56,Yellow Taxi
2024,Unknown,113354,21.58,3.85,3468931.0,3.58,Yellow Taxi
2024,Manhattan,31940558,15.87,3.1,766051984.0,2.34,Yellow Taxi
2024,Staten Island,905,36.48,3.65,47522.0,6.53,Yellow Taxi
2022,,23719,93.8,10.83,2554071.0,2.21,Yellow Taxi
2022,Staten Island,3120,54.9,1.05,214004.0,10.35,Yellow Taxi
2021,Unknown,218692,18.9,3.24,5692408.0,4.62,Yellow Taxi
2022,Brooklyn,209071,22.31,2.39,5673294.0,4.39,Yellow Taxi
2021,Manhattan,26216159,11.04,2.11,441175209.0,2.37,Yellow Taxi
2022,EWR,9660,88.62,12.29,1019026.0,0.77,Yellow Taxi
2021,Staten Island,2866,79.39,1.31,258703.0,27.04,Yellow Taxi
2024,Brooklyn,320459,29.07,1.59,10632558.0,5.56,Yellow Taxi
2022,Queens,3321893,40.16,6.48,178744885.0,12.68,Yellow Taxi
2024,EWR,5684,86.42,10.41,568011.0,0.77,Yellow Taxi
2022,Bronx,47100,29.04,0.71,1541444.0,4.83,Yellow Taxi
2022,Manhattan,33188860,12.01,2.34,603502434.0,2.53,Yellow Taxi
2024,Queens,3587807,53.98,8.79,264616916.0,12.5,Yellow Taxi
2024,Bronx,75893,35.85,0.53,3007263.0,8.09,Yellow Taxi
2021,EWR,2831,81.83,11.43,276576.0,0.97,Yellow Taxi
2021,Queens,1923964,37.41,5.69,95222369.0,12.13,Yellow Taxi
2024,,20682,93.17,8.99,2187255.0,2.63,Yellow Taxi
2021,Brooklyn,156112,20.18,2.19,3852214.0,4.09,Yellow Taxi
2021,Bronx,44033,25.77,0.86,1294440.0,4.56,Yellow Taxi
2022,Unknown,461371,22.82,4.09,14676273.0,5.73,Yellow Taxi
2021,,13879,80.79,9.1,1292156.0,3.83,Yellow Taxi
2025,,3693,86.83,8.84,366899.0,3.09,Yellow Taxi
2025,Queens,768536,52.67,8.79,55781461.0,12.29,Yellow Taxi
2025,Bronx,20493,36.01,0.31,806210.0,8.64,Yellow Taxi
2025,Brooklyn,79598,29.19,1.37,2616387.0,5.63,Yellow Taxi
2025,Unknown,21750,19.52,3.74,627540.0,3.33,Yellow Taxi
2025,Staten Island,240,25.48,3.33,10129.0,5.86,Yellow Taxi
2025,EWR,1014,87.73,9.65,102013.0,0.88,Yellow Taxi
2025,Manhattan,7785194,14.7,3.06,181285406.0,2.23,Yellow Taxi
