pickup_hour,is_weekend,is_rush_hour,trips,avg_fare,avg_tip,avg_tip_pct,avg_distance
17,True,False,4198781,15.94,2.73,17.12,3.24
12,True,False,3848985,14.47,2.5,17.28,2.97
3,False,False,716920,16.82,2.41,14.31,4.05
11,False,False,9482100,15.21,2.61,17.17,2.83
12,False,False,10098120,15.42,2.63,17.07,2.91
20,True,False,3369578,15.68,2.79,17.82,3.37
0,False,False,3578161,17.7,3.03,17.12,4.33
9,False,True,9044752,14.61,2.6,17.78,2.76
20,False,False,10628204,14.77,2.83,19.16,3.19
11,True,False,3450293,13.87,2.4,17.32,2.9
2,False,False,1121320,15.66,2.41,15.38,3.74
21,True,False,3245128,15.88,2.85,17.93,3.48
10,False,False,9086561,15.0,2.6,17.3,2.84
5,True,False,404133,22.38,3.21,14.33,5.75
1,False,False,1947101,16.81,2.72,16.19,4.08
23,False,False,7003472,16.35,2.98,18.22,3.77
6,False,False,3593272,15.77,2.53,16.06,3.86
1,True,False,2649645,13.63,2.5,18.36,2.95
19,True,False,3895206,15.29,2.65,17.33,3.13
2,True,False,1960991,13.26,2.4,18.09,2.89
16,True,False,4095159,16.38,2.8,17.06,3.34
17,False,True,12332362,15.51,2.93,18.91,2.95
4,False,False,700001,20.89,2.99,14.33,5.28
8,True,False,1489215,15.59,2.51,16.1,3.7
7,False,True,6834910,14.23,2.5,17.57,3.1
7,True,False,961555,18.14,2.78,15.32,4.54
4,True,False,772380,16.37,2.47,15.1,3.85
0,True,False,3247285,14.68,2.67,18.18,3.18
15,False,False,11444553,16.38,2.79,17.06,3.16
15,True,False,4080210,16.34,2.77,16.94,3.38
19,False,True,11937091,14.24,2.8,19.65,2.94
5,False,False,1345728,19.9,3.06,15.37,5.15
22,True,False,3152538,16.2,2.9,17.88,3.57
16,False,True,11043053,16.65,3.04,18.26,3.2
3,True,False,1355082,13.8,2.38,17.23,3.09
14,False,False,11193809,16.33,2.79,17.06,3.18
18,False,True,13266319,14.4,2.82,19.58,2.78
6,True,False,618753,21.19,3.11,14.69,5.5
13,True,False,3975891,15.2,2.6,17.14,3.11
18,True,False,4218286,15.33,2.65,17.29,3.09
10,True,False,2960438,13.76,2.35,17.07,2.99
23,True,False,2751438,16.65,2.92,17.55,3.74
8,False,True,8868321,14.19,2.56,18.07,2.79
13,False,False,10298256,15.83,2.7,17.05,3.07
14,True,False,4037084,16.01,2.72,16.99,3.32
21,False,False,10431882,15.08,2.91,19.29,3.3
22,False,False,9342798,15.58,2.96,18.99,3.47
9,True,False,2243533,14.05,2.35,16.76,3.16
