year,month,trips,avg_fare,avg_tip,avg_distance,total_revenue,taxi_type
2019,10,7010059,13.57,2.3,2.98,138245123.0,Yellow Taxi
2019,5,7406638,13.49,2.26,3.04,145168508.0,Yellow Taxi
2019,3,7679582,13.05,2.22,3.0,146398449.0,Yellow Taxi
2019,8,5913949,13.56,2.19,3.13,115777509.0,Yellow Taxi
2019,6,6797368,13.66,2.27,3.08,134336879.0,Yellow Taxi
2019,1,7541548,12.25,1.83,2.8,117097436.0,Yellow Taxi
2019,2,6889587,12.67,2.17,2.89,127379568.0,Yellow Taxi
2019,4,7283188,13.18,2.22,3.0,140055960.0,Yellow Taxi
2019,9,6396208,13.74,2.3,3.06,127096428.0,Yellow Taxi
2019,12,6697751,13.47,2.27,2.95,131011584.0,Yellow Taxi
2020,2,6105732,12.54,2.25,2.8,113358873.0,Yellow Taxi
2019,7,6145197,13.54,2.2,3.08,120260626.0,Yellow Taxi
2019,11,6680734,13.31,2.27,2.91,129486555.0,Yellow Taxi
2021,6,2631255,12.84,2.34,3.0,50038690.0,Yellow Taxi
2020,11,1373914,11.07,1.95,2.48,22725829.0,Yellow Taxi
2024,5,3229996,20.12,3.7,3.41,95175725.0,Yellow Taxi
2021,11,3248453,13.89,2.59,3.25,66518721.0,Yellow Taxi
2021,9,2735020,13.72,2.49,3.24,55138510.0,Yellow Taxi
2024,10,3342461,20.55,3.82,3.45,100315527.0,Yellow Taxi
2022,11,3058194,15.15,2.85,3.53,67667682.0,Yellow Taxi
2023,3,3227627,19.22,3.53,3.42,91266014.0,Yellow Taxi
2023,5,3319900,20.18,3.65,3.53,97727521.0,Yellow Taxi
2021,3,1747993,11.25,2.03,2.58,29469117.0,Yellow Taxi
2020,1,6204500,12.57,2.22,2.85,115292922.0,Yellow Taxi
2023,10,3283311,20.44,3.75,3.48,97989334.0,Yellow Taxi
2024,6,3043583,19.96,3.66,3.41,88921987.0,Yellow Taxi
2022,5,3364108,15.09,2.8,3.61,74111624.0,Yellow Taxi
2020,10,1535112,11.18,1.96,2.48,25614792.0,Yellow Taxi
2023,12,3113809,20.04,3.67,3.31,91121161.0,Yellow Taxi
2021,4,1991012,11.86,2.13,2.73,35180578.0,Yellow Taxi
2022,8,2976102,14.88,2.66,3.64,64506865.0,Yellow Taxi
2022,10,3445486,15.32,2.85,3.59,76924576.0,Yellow Taxi
2024,7,2718216,20.37,3.58,3.59,80393321.0,Yellow Taxi
2021,8,2567055,13.42,2.39,3.32,50698594.0,Yellow Taxi
2024,12,3241932,20.33,3.75,3.28,96037617.0,Yellow Taxi
2021,5,2319079,12.36,2.24,2.9,42592127.0,Yellow Taxi
2021,10,3225952,13.54,2.53,3.15,64570892.0,Yellow Taxi
2020,3,2894931,12.42,2.17,2.83,52986612.0,Yellow Taxi
2022,7,2983985,14.75,2.66,3.6,64186513.0,Yellow Taxi
2024,9,3062777,20.89,3.81,3.52,92888919.0,Yellow Taxi
2022,3,3415378,13.91,2.64,3.33,70435150.0,Yellow Taxi
2024,2,2751394,18.51,3.5,3.18,75634384.0,Yellow Taxi
2020,12,1326437,11.02,1.94,2.45,21867675.0,Yellow Taxi
2021,12,3023828,14.13,2.59,3.35,62799260.0,Yellow Taxi
2021,7,2610597,13.2,2.37,3.21,50818387.0,Yellow Taxi
2025,3,3136817,18.85,3.65,3.27,89621447.0,Yellow Taxi
2023,4,3110432,19.69,3.55,3.51,89485185.0,Yellow Taxi
2024,11,3183472,19.78,3.68,3.29,92145446.0,Yellow Taxi
2020,8,909778,11.77,1.82,2.7,15538645.0,Yellow Taxi
2022,1,2327180,12.79,2.39,3.11,44376107.0,Yellow Taxi
2022,6,3333816,14.98,2.77,3.56,72971851.0,Yellow Taxi
2024,4,3021971,19.58,3.63,3.38,87106850.0,Yellow Taxi
2022,4,3388834,14.41,2.69,3.45,71772832.0,Yellow Taxi
2022,12,3185138,17.0,3.07,3.53,78564538.0,Yellow Taxi
2023,8,2663119,20.14,3.48,3.63,77977532.0,Yellow Taxi
2023,9,2637720,20.87,3.74,3.55,79854322.0,Yellow Taxi
2024,3,3071353,19.27,3.59,3.35,87336427.0,Yellow Taxi
2023,7,2747090,20.1,3.5,3.6,80110654.0,Yellow Taxi
2020,9,1216705,11.32,1.9,2.56,20399753.0,Yellow Taxi
2022,2,2799635,13.11,2.49,3.08,54695764.0,Yellow Taxi
2023,6,3121607,20.17,3.64,3.56,91873766.0,Yellow Taxi
2023,2,2764668,18.53,3.42,3.3,75634124.0,Yellow Taxi
2023,11,3128391,20.05,3.73,3.37,91878566.0,Yellow Taxi
2025,1,2850384,18.06,3.5,3.14,78277452.0,Yellow Taxi
2020,7,714316,11.81,1.77,2.71,12180724.0,Yellow Taxi
2022,9,2986938,15.62,2.86,3.68,67711931.0,Yellow Taxi
2024,8,2641086,20.61,3.58,3.65,78738082.0,Yellow Taxi
2025,2,2693317,17.9,3.5,3.07,73697146.0,Yellow Taxi
2023,1,2918339,18.66,3.4,3.38,80108975.0,Yellow Taxi
2024,1,2757101,18.57,3.47,3.25,75886154.0,Yellow Taxi
2021,1,1237937,11.12,1.95,2.61,20518923.0,Yellow Taxi
2020,6,483239,11.96,1.78,2.82,8300483.0,Yellow Taxi
2021,2,1240355,11.18,2.0,2.53,20720274.0,Yellow Taxi
2020,4,210610,10.75,1.53,2.62,3276651.0,Yellow Taxi
2020,5,278367,11.26,1.57,2.69,4489767.0,Yellow Taxi
2019,8,13887177,15.01,0.48,4.78,208503812.0,Uber
2019,3,835210,16.86,0.33,4.15,14082984.0,Juno
2019,3,4698377,17.78,0.91,5.05,83530042.0,Lyft
2019,4,740527,17.88,0.34,4.34,13242064.0,Juno
2019,8,4697499,19.31,0.83,5.37,90728009.0,Lyft
2020,1,5274004,18.49,0.83,4.99,97524177.0,Lyft
2019,4,1045993,9.12,0.17,3.55,9534774.0,Via
2019,4,4289875,18.55,0.95,5.17,79559645.0,Lyft
2019,8,881595,10.48,0.17,3.75,9237202.0,Via
2024,5,5166065,26.74,1.34,5.32,138128333.0,Lyft
2020,1,712562,10.43,0.17,3.29,7433462.0,Via
2019,4,15592840,16.08,0.43,4.68,250777186.0,Uber
2019,8,619642,16.65,0.36,4.27,10313979.0,Juno
2019,3,17180289,15.2,0.41,4.7,261209411.0,Uber
2019,3,1081851,8.53,0.14,3.52,9229778.0,Via
2024,5,15537468,27.29,1.23,5.08,423987611.0,Uber
2020,1,14547053,16.84,0.55,4.46,245002485.0,Uber
2022,7,12557678,24.42,1.05,5.2,306659480.0,Uber
2022,8,4684222,22.04,1.08,5.08,103258234.0,Lyft
2019,5,4680216,19.02,0.96,5.07,89023944.0,Lyft
2019,5,15822130,17.94,0.53,4.75,283787180.0,Uber
2021,10,4429308,23.09,1.12,5.04,102293775.0,Lyft
2022,11,5117729,21.96,1.1,4.95,112397821.0,Lyft
2022,7,4887929,21.31,1.06,5.02,104158579.0,Lyft
2025,1,15353461,24.69,1.0,4.96,379110550.0,Uber
2021,10,29394,18.4,0.42,3.94,540841.0,Via
2021,10,12064915,22.55,0.97,4.82,272026063.0,Uber
2019,5,1029162,9.89,0.16,3.59,10174886.0,Via
2022,11,12949701,24.51,1.15,5.06,317415555.0,Uber
2025,1,5049147,22.94,1.16,4.52,115833075.0,Lyft
2022,8,12479661,24.46,1.04,5.24,305278896.0,Uber
2019,5,742050,17.5,0.32,4.14,12988673.0,Juno
2021,5,10793322,22.36,0.69,4.76,241302024.0,Uber
2022,1,3925012,19.51,0.86,4.76,76571715.0,Lyft
2021,5,3813685,23.34,0.98,5.05,89004651.0,Lyft
2022,1,10807166,19.73,0.79,4.58,213267949.0,Uber
2021,5,96317,29.81,0.58,5.54,2870898.0,Via
2022,2,11422406,21.45,0.88,4.72,245036396.0,Uber
2021,8,93694,20.84,0.46,5.01,1952549.0,Via
2021,8,10178264,23.39,0.9,5.01,238029095.0,Uber
2021,8,4209006,22.89,0.99,4.99,96326458.0,Lyft
2022,4,12991437,24.56,1.11,5.09,319077229.0,Uber
2022,2,4578217,20.36,0.92,4.77,93229162.0,Lyft
2022,4,4741250,22.76,1.12,4.97,107931362.0,Lyft
2019,11,105871,24.94,0.54,5.65,2640125.0,Juno
2019,11,773894,10.9,0.18,3.42,8433516.0,Via
2020,3,9815010,15.63,0.44,4.44,153388472.0,Uber
2019,11,15568074,16.67,0.57,4.5,259480972.0,Uber
2024,6,15157301,27.04,1.17,5.16,409902336.0,Uber
2020,3,3219316,19.17,0.82,5.19,61712632.0,Lyft
2019,11,5144273,19.75,0.85,5.49,101573902.0,Lyft
2024,6,4965004,26.81,1.35,5.18,133095787.0,Lyft
2020,3,336586,11.67,0.2,3.58,3929090.0,Via
2020,8,3071704,19.66,0.73,5.01,60386869.0,Lyft
2020,9,3115490,19.3,0.76,4.67,60127138.0,Lyft
2020,8,7849164,17.74,0.34,4.55,139239487.0,Uber
2021,4,3768695,22.61,0.92,5.01,85226024.0,Lyft
2020,9,142000,26.16,0.47,5.78,3714144.0,Via
2019,12,16064967,18.12,0.63,4.48,291078970.0,Uber
2020,2,15706384,15.8,0.52,4.44,248094586.0,Uber
2020,10,3321476,19.32,0.78,4.45,64177598.0,Lyft
2021,4,10225433,20.77,0.57,4.56,212432420.0,Uber
