year,payment_type,trips,avg_fare,avg_tip,avg_tip_pct,avg_distance,payment_label
2019,1,59521955,13.52,3.05,22.6,3.05,Credit Card
2020,3,101437,12.1,0.0,0.02,2.8,No Charge
2020,4,35734,13.26,0.0,0.02,3.12,Dispute
2020,1,17108967,12.24,2.86,23.34,2.75,Credit Card
2019,2,22467160,12.63,0.0,0.0,2.82,Cash
2020,2,6007488,11.73,0.0,0.0,2.69,Cash
2019,4,107103,13.85,0.0,0.02,3.11,Dispute
2019,5,31,1.1,0.06,5.88,0.04,Unknown
2019,3,345560,12.98,0.0,0.02,2.89,No Charge
2023,5,2,0.0,0.0,,6.05,Unknown
2023,4,270627,20.17,0.02,0.12,3.13,Dispute
2023,1,29395898,19.85,4.4,22.19,3.47,Credit Card
2023,3,164549,16.61,0.01,0.08,2.34,No Charge
2024,4,422976,21.73,0.01,0.07,3.48,Dispute
2021,2,6485969,12.73,0.0,0.0,3.0,Cash
2024,1,30126967,19.94,4.37,21.94,3.41,Credit Card
2023,2,6204937,19.89,0.0,0.0,3.49,Cash
2022,3,124159,12.87,0.0,0.04,2.61,No Charge
2022,1,29497345,14.89,3.46,23.22,3.51,Credit Card
2021,1,21951645,13.07,3.08,23.55,3.08,Credit Card
2022,2,7547638,14.51,0.0,0.0,3.42,Cash
2020,5,15,14.9,0.0,0.0,4.59,Unknown
2022,4,95647,14.79,0.01,0.09,2.95,Dispute
2021,3,99389,12.33,0.0,0.01,2.83,No Charge
2024,3,191344,18.08,0.01,0.04,2.58,No Charge
2021,4,41530,13.13,0.0,0.01,3.09,Dispute
2024,2,5324052,19.59,0.0,0.0,3.32,Cash
2025,2,1080416,18.07,0.0,0.0,3.1,Cash
2025,3,46981,16.42,0.01,0.08,2.41,No Charge
2024,5,3,0.0,0.0,,0.0,Unknown
2021,5,3,1.33,0.0,0.0,0.2,Unknown
2025,1,7427517,18.29,4.15,22.69,3.17,Credit Card
2025,4,125603,21.19,0.01,0.07,3.56,Dispute
2022,5,5,9.9,0.0,0.0,0.42,Unknown
2025,5,1,0.0,0.0,,0.0,Unknown
