year,quarter,borough,trips,avg_fare,total_revenue
2019,1,,10631,65.7,818080.0
2019,1,Bronx,46133,23.63,1213194.0
2019,1,Brooklyn,270667,17.1,5521128.0
2019,1,EWR,1481,77.66,139199.0
2019,1,Manhattan,20111494,10.95,314508385.0
2019,1,Queens,1400115,35.38,64041427.0
2019,1,Staten Island,920,46.24,49502.0
2019,1,Unknown,269276,13.33,4584538.0
2019,2,,12719,66.78,997042.0
2019,2,Bronx,34202,22.43,865829.0
2019,2,Brooklyn,256582,16.82,5298144.0
2019,2,EWR,2038,80.97,197688.0
2019,2,Manhattan,19470767,11.55,337279160.0
2019,2,Queens,1522100,36.02,71028495.0
2019,2,Staten Island,842,48.89,47894.0
2019,2,Unknown,187944,15.22,3847094.0
2019,3,,10976,75.57,964399.0
2019,3,Bronx,27390,21.21,655663.0
2019,3,Brooklyn,200312,16.92,4155823.0
2019,3,EWR,2148,83.62,214443.0
2019,3,Manhattan,16655903,11.57,288389568.0
2019,3,Queens,1408153,36.18,65372007.0
2019,3,Staten Island,727,58.48,47364.0
2019,3,Unknown,149745,16.76,3335296.0
2019,4,,10154,77.55,923099.0
2019,4,Bronx,21345,21.53,523155.0
2019,4,Brooklyn,199085,16.32,4062027.0
2019,4,EWR,2482,83.82,248103.0
2019,4,Manhattan,18632963,11.66,325323374.0
2019,4,Queens,1370240,36.26,64123393.0
2019,4,Staten Island,760,55.61,47565.0
2019,4,Unknown,151515,17.3,3492545.0
2020,1,,6881,77.68,619262.0
2020,1,Bronx,16991,21.09,408531.0
2020,1,Brooklyn,136790,16.07,2769465.0
2020,1,EWR,1621,81.83,157718.0
2020,1,Manhattan,14007330,10.92,233340012.0
2020,1,Queens,934620,35.01,42077120.0
2020,1,Staten Island,667,58.82,43194.0
2020,1,Unknown,100263,16.55,2223104.0
2020,2,,727,53.98,44952.0
2020,2,Bronx,8188,20.88,196711.0
2020,2,Brooklyn,13238,20.85,321291.0
2020,2,EWR,45,60.51,3243.0
2020,2,Manhattan,896250,10.36,13748693.0
2020,2,Queens,44785,28.59,1589512.0
2020,2,Staten Island,238,54.0,14818.0
2020,2,Unknown,8745,12.88,147680.0
2020,3,,1604,64.06,118523.0
2020,3,Bronx,14435,22.05,362613.0
2020,3,Brooklyn,26644,20.15,617614.0
2020,3,EWR,139,64.39,10230.0
2020,3,Manhattan,2644639,10.39,41407721.0
2020,3,Queens,130705,31.63,5154685.0
2020,3,Staten Island,460,76.91,38872.0
2020,3,Unknown,22173,13.71,408862.0
2020,4,,1673,64.36,123782.0
2020,4,Bronx,9337,22.74,243690.0
2020,4,Brooklyn,24904,19.45,579132.0
2020,4,EWR,191,67.27,14816.0
2020,4,Manhattan,4018808,10.18,62612973.0
2020,4,Queens,151566,31.96,6050719.0
2020,4,Staten Island,726,77.09,63307.0
2020,4,Unknown,28258,13.32,519876.0
2021,1,,1670,68.89,131532.0
2021,1,Bronx,10591,23.44,287254.0
2021,1,Brooklyn,24269,20.52,598714.0
2021,1,EWR,139,75.25,11974.0
2021,1,Manhattan,3975745,10.0,61248814.0
2021,1,Queens,182433,34.02,7774190.0
2021,1,Staten Island,789,79.38,71531.0
2021,1,Unknown,30649,13.8,584305.0
2021,2,,2860,78.79,257337.0
2021,2,Bronx,14077,24.71,394452.0
2021,2,Brooklyn,42024,20.35,1029460.0
2021,2,EWR,344,80.21,32040.0
2021,2,Manhattan,6429843,10.72,105553071.0
2021,2,Queens,405496,36.53,19416740.0
2021,2,Staten Island,700,78.82,63127.0
2021,2,Unknown,46002,16.77,1065169.0
2021,3,,4533,82.99,434145.0
2021,3,Bronx,10608,27.19,329805.0
2021,3,Brooklyn,44428,19.85,1094477.0
2021,3,EWR,789,78.92,75209.0
2021,3,Manhattan,7181521,11.19,122387927.0
2021,3,Queens,612047,37.92,30670328.0
2021,3,Staten Island,712,79.85,63930.0
2021,3,Unknown,58034,20.25,1599670.0
2021,4,,4816,84.03,469142.0
2021,4,Bronx,8757,28.58,282929.0
2021,4,Brooklyn,45391,20.17,1129563.0
2021,4,EWR,1559,84.24,157352.0
2021,4,Manhattan,8629050,11.62,151985397.0
2021,4,Queens,723988,38.32,37361112.0
2021,4,Staten Island,665,79.53,60115.0
2021,4,Unknown,84007,21.0,2443263.0
2022,1,,4052,87.53,407459.0
2022,1,Bronx,11237,29.48,371796.0
2022,1,Brooklyn,43155,22.16,1143541.0
2022,1,EWR,1269,81.6,124608.0
2022,1,Manhattan,7739556,11.02,131214046.0
2022,1,Queens,658865,38.3,33877541.0
2022,1,Staten Island,548,59.08,38589.0
2022,1,Unknown,83511,20.03,2329440.0
2022,2,,6427,93.95,694591.0
2022,2,Bronx,11922,28.68,387900.0
2022,2,Brooklyn,61218,21.41,1610939.0
2022,2,EWR,2886,87.51,301293.0
2022,2,Manhattan,9004371,12.08,164457470.0
2022,2,Queens,887606,40.11,47777757.0
2022,2,Staten Island,787,57.32,56356.0
2022,2,Unknown,111541,23.1,3570000.0
2022,3,,6691,97.35,741894.0
2022,3,Bronx,12360,29.15,406308.0
2022,3,Brooklyn,52545,22.77,1451246.0
2022,3,EWR,2661,90.01,284791.0
2022,3,Manhattan,7882262,12.05,143429312.0
2022,3,Queens,865257,39.98,46064903.0
2022,3,Staten Island,867,56.11,62243.0
2022,3,Unknown,124382,22.9,3964613.0
2022,4,,6549,93.91,710128.0
2022,4,Bronx,11581,28.88,375441.0
2022,4,Brooklyn,52153,23.02,1467567.0
2022,4,EWR,2844,91.59,308335.0
2022,4,Manhattan,8562671,12.77,164401605.0
2022,4,Queens,910165,41.74,51024684.0
2022,4,Staten Island,918,49.18,56816.0
2022,4,Unknown,141937,24.18,4812220.0
2023,1,,4340,96.54,478891.0
2023,1,Bronx,12895,30.41,444194.0
2023,1,Brooklyn,45857,26.94,1505606.0
2023,1,EWR,1165,92.29,126039.0
2023,1,Manhattan,7910645,15.16,182549055.0
2023,1,Queens,832388,51.84,58311714.0
2023,1,Staten Island,863,50.34,56044.0
2023,1,Unknown,102481,24.07,3537571.0
2023,2,,5223,102.08,610270.0
2023,2,Bronx,14739,31.64,529193.0
2023,2,Brooklyn,53550,27.14,1779122.0
2023,2,EWR,1316,92.83,141915.0
2023,2,Manhattan,8399494,15.98,202183238.0
2023,2,Queens,977098,53.45,70845422.0
2023,2,Staten Island,882,51.67,58628.0
2023,2,Unknown,99637,20.99,2938685.0
2023,3,,5269,101.71,609123.0
2023,3,Bronx,15231,31.06,533864.0
2023,3,Brooklyn,47384,28.13,1611267.0
2023,3,EWR,1065,93.02,114710.0
2023,3,Manhattan,7011121,16.01,168493269.0
2023,3,Queens,889305,53.5,64270952.0
2023,3,Staten Island,502,55.75,35640.0
2023,3,Unknown,78052,20.83,2273684.0
2023,4,,5318,97.76,596786.0
2023,4,Bronx,16270,31.66,569086.0
2023,4,Brooklyn,55914,28.17,1881713.0
2023,4,EWR,1255,93.78,137745.0
2023,4,Manhattan,8465385,16.42,208399022.0
2023,4,Queens,916273,53.64,67480799.0
2023,4,Staten Island,145,52.13,9429.0
2023,4,Unknown,64951,20.87,1914480.0
2024,1,,4044,93.46,432538.0
2024,1,Bronx,17852,33.53,662287.0
2024,1,Brooklyn,62449,28.89,2078225.0
2024,1,EWR,898,90.57,94877.0
2024,1,Manhattan,7675941,15.16,177722496.0
2024,1,Queens,789448,52.6,57021417.0
2024,1,Staten Island,134,42.36,7848.0
2024,1,Unknown,29082,20.24,837278.0
2024,2,,5090,94.52,547607.0
2024,2,Bronx,19505,35.65,766660.0
2024,2,Brooklyn,81629,28.95,2705067.0
2024,2,EWR,1527,87.68,155913.0
2024,2,Manhattan,8235906,15.93,198324115.0
2024,2,Queens,920287,53.6,67741596.0
2024,2,Staten Island,215,36.17,11784.0
2024,2,Unknown,31391,21.26,951820.0
2024,3,,5916,94.28,628315.0
2024,3,Bronx,19655,37.38,811829.0
2024,3,Brooklyn,86278,29.44,2876601.0
2024,3,EWR,1590,83.94,152147.0
2024,3,Manhattan,7334768,16.01,176703474.0
2024,3,Queens,948133,54.6,70008843.0
2024,3,Staten Island,256,37.46,13803.0
2024,3,Unknown,25483,23.05,825310.0
2024,4,,5632,90.57,578795.0
2024,4,Bronx,18881,36.65,766488.0
2024,4,Brooklyn,90103,28.95,2972665.0
2024,4,EWR,1669,85.42,165073.0
2024,4,Manhattan,8693943,16.33,213301899.0
2024,4,Queens,929939,54.9,69845060.0
2024,4,Staten Island,300,33.23,14087.0
2024,4,Unknown,27398,21.97,854523.0
2025,1,,3693,86.83,366899.0
2025,1,Bronx,20493,36.01,806210.0
2025,1,Brooklyn,79598,29.19,2616387.0
2025,1,EWR,1014,87.73,102013.0
2025,1,Manhattan,7785194,14.7,181285406.0
2025,1,Queens,768536,52.67,55781461.0
2025,1,Staten Island,240,25.48,10129.0
2025,1,Unknown,21750,19.52,627540.0
