year,trips,avg_fare,avg_tip,avg_distance,total_revenue,taxi_type
2019,82441809,13.27,2.21,2.99,1572314624.0,Yellow Taxi
2020,23253641,12.11,2.1,2.73,416032725.0,Yellow Taxi
2023,36036013,19.84,3.59,3.47,1045027156.0,Yellow Taxi
2022,37264794,14.81,2.74,3.49,807925432.0,Yellow Taxi
2024,36065342,19.9,3.65,3.39,1050580439.0,Yellow Taxi
2021,28578536,12.99,2.36,3.06,549064073.0,Yellow Taxi
2025,8680518,18.3,3.55,3.17,241596045.0,Yellow Taxi
2020,103014031,17.13,0.46,4.49,1765118184.0,Uber
2019,53264719,19.05,0.89,5.2,1014802897.0,Lyft
2020,2872367,16.79,0.28,4.38,48220982.0,Via
2024,179101127,26.48,1.13,5.11,4742157827.0,Uber
2019,164243091,17.02,0.53,4.67,2795874394.0,Uber
2019,10118891,10.08,0.17,3.59,102004446.0,Via
2020,37245962,19.15,0.77,4.93,713346809.0,Lyft
2024,60342594,25.4,1.29,4.99,1532560757.0,Lyft
2019,6388642,17.21,0.34,4.25,109959245.0,Juno
2021,891706,25.55,0.51,5.31,22778658.0,Via
2022,58563833,22.14,1.09,4.93,1296557385.0,Lyft
2021,125914889,21.89,0.79,4.79,2755922500.0,Uber
2021,47572541,22.27,0.98,4.94,1059224830.0,Lyft
2025,15958529,23.8,1.14,4.7,379779609.0,Lyft
2022,153606124,24.29,1.08,5.06,3730647495.0,Uber
2025,44318503,26.28,1.03,5.01,1164749367.0,Uber
2023,167047948,25.27,1.14,5.07,4221963917.0,Uber
2023,65359453,22.84,1.15,5.02,1493007618.0,Lyft
