zone,borough,service_zone,trips,avg_fare,avg_tip,avg_distance,total_revenue
Upper East Side South,Manhattan,Yellow Zone,11862783,10.69,2.13,1.78,199606911.0
Midtown Center,Manhattan,Yellow Zone,10722778,13.51,2.6,2.37,220012661.0
Upper East Side North,Manhattan,Yellow Zone,10673778,11.07,2.21,1.94,183946482.0
JFK Airport,Queens,Airports,10354744,52.83,7.48,15.46,697736380.0
Midtown East,Manhattan,Yellow Zone,8883150,12.95,2.55,2.34,175803500.0
Penn Station/Madison Sq West,Manhattan,Yellow Zone,8865694,13.73,2.49,2.34,180091289.0
Times Sq/Theatre District,Manhattan,Yellow Zone,8147022,15.39,2.73,2.96,185267136.0
Lincoln Square East,Manhattan,Yellow Zone,8036240,11.82,2.33,2.17,146345318.0
Murray Hill,Manhattan,Yellow Zone,7714867,12.78,2.45,2.29,150208845.0
Clinton East,Manhattan,Yellow Zone,7398785,12.89,2.28,2.49,142896779.0
Union Sq,Manhattan,Yellow Zone,7108697,12.0,2.4,2.09,131717700.0
LaGuardia Airport,Queens,Airports,7034086,36.05,6.99,9.46,374383923.0
Midtown North,Manhattan,Yellow Zone,7022267,13.5,2.55,2.43,143025644.0
Upper West Side South,Manhattan,Yellow Zone,6989853,11.56,2.33,2.17,125170688.0
Lenox Hill West,Manhattan,Yellow Zone,6321499,10.92,2.11,2.0,107334542.0
East Chelsea,Manhattan,Yellow Zone,6312278,13.81,2.57,2.45,130057948.0
East Village,Manhattan,Yellow Zone,6140807,12.44,2.4,2.45,116031099.0
Midtown South,Manhattan,Yellow Zone,5688707,13.22,2.47,2.4,114117619.0
Gramercy,Manhattan,Yellow Zone,5633011,11.96,2.33,2.21,103482997.0
West Village,Manhattan,Yellow Zone,5225233,12.45,2.52,2.31,99752503.0
Upper West Side North,Manhattan,Yellow Zone,5200584,11.58,2.21,2.22,91239368.0
Yorkville West,Manhattan,Yellow Zone,5054309,11.19,2.16,2.21,87666304.0
Lenox Hill East,Manhattan,Yellow Zone,5027661,12.59,2.3,2.41,94999994.0
Sutton Place/Turtle Bay North,Manhattan,Yellow Zone,4978243,11.53,2.22,2.12,88389347.0
Garment District,Manhattan,Yellow Zone,4539481,13.31,2.21,2.42,89581846.0
Flatiron,Manhattan,Yellow Zone,4327653,11.9,2.33,2.12,79358833.0
Central Park,Manhattan,Yellow Zone,4166827,12.44,2.32,2.2,77808438.0
West Chelsea/Hudson Yards,Manhattan,Yellow Zone,4003485,13.45,2.55,2.4,80935036.0
TriBeCa/Civic Center,Manhattan,Yellow Zone,3638783,15.02,2.75,3.09,79503366.0
Greenwich Village North,Manhattan,Yellow Zone,3603747,12.13,2.4,2.15,66903750.0
Yorkville East,Manhattan,Yellow Zone,3295288,11.98,2.31,2.38,60261870.0
UN/Turtle Bay South,Manhattan,Yellow Zone,3213635,13.41,2.48,2.58,65050178.0
Greenwich Village South,Manhattan,Yellow Zone,3183017,12.74,2.5,2.39,61700581.0
Kips Bay,Manhattan,Yellow Zone,3056294,12.0,2.11,2.34,55543954.0
Lincoln Square West,Manhattan,Yellow Zone,2923007,11.42,2.18,2.14,51176975.0
Lower East Side,Manhattan,Yellow Zone,2656938,14.27,2.58,2.95,55646186.0
Manhattan Valley,Manhattan,Yellow Zone,2277770,11.88,2.07,2.33,38647465.0
Little Italy/NoLiTa,Manhattan,Yellow Zone,2259933,13.77,2.48,2.56,45994184.0
Meatpacking/West Village West,Manhattan,Yellow Zone,2187831,13.83,2.7,2.64,45333200.0
,Unknown,,2078207,18.82,3.2,3.76,53688567.0
SoHo,Manhattan,Yellow Zone,1882722,13.59,2.52,2.51,38047183.0
East Harlem South,Manhattan,Boro Zone,1872899,12.19,1.66,2.43,31381043.0
Clinton West,Manhattan,Yellow Zone,1858040,12.7,2.19,2.5,35078962.0
Battery Park City,Manhattan,Yellow Zone,1698139,18.27,3.4,4.27,44021532.0
Financial District North,Manhattan,Yellow Zone,1470642,18.82,3.31,4.4,38755015.0
Morningside Heights,Manhattan,Boro Zone,1310216,13.34,2.25,2.68,24070007.0
World Trade Center,Manhattan,Yellow Zone,1301923,19.28,3.12,4.23,34769948.0
Hudson Sq,Manhattan,Yellow Zone,1293789,13.58,2.65,2.62,26339008.0
Central Harlem,Manhattan,Boro Zone,848101,11.99,1.43,2.34,13292785.0
East Harlem North,Manhattan,Boro Zone,841139,12.24,1.18,2.48,13283227.0
Financial District South,Manhattan,Yellow Zone,771053,19.94,3.24,4.72,21170769.0
Bloomingdale,Manhattan,Yellow Zone,747100,12.57,2.15,2.52,13181353.0
East Elmhurst,Queens,Boro Zone,603852,37.57,7.06,9.35,33307784.0
Seaport,Manhattan,Yellow Zone,469411,18.23,3.04,4.11,11943302.0
Stuy Town/Peter Cooper Village,Manhattan,Yellow Zone,388688,12.56,2.21,2.47,7233411.0
Chinatown,Manhattan,Yellow Zone,379986,16.68,2.44,3.32,8789080.0
Central Harlem North,Manhattan,Boro Zone,351700,13.5,0.91,2.58,5727493.0
Two Bridges/Seward Park,Manhattan,Yellow Zone,325466,16.47,2.45,3.31,7410482.0
Alphabet City,Manhattan,Yellow Zone,319891,13.56,2.26,2.7,6317226.0
Sunnyside,Queens,Boro Zone,262789,21.73,2.56,3.77,7132164.0
Hamilton Heights,Manhattan,Boro Zone,247304,14.87,1.56,3.2,4594493.0
Long Island City/Hunters Point,Queens,Boro Zone,246347,18.81,2.5,2.48,6027198.0
Washington Heights South,Manhattan,Boro Zone,231138,17.71,1.84,3.95,5049481.0
Astoria,Queens,Boro Zone,222791,13.35,1.13,2.76,3661468.0
Manhattanville,Manhattan,Boro Zone,212764,13.33,1.45,2.82,3609902.0
